,Make,Model,First Registration,Kilometrage (km),Body Color,Gearing Type,Nr. of Doors,Price (€),Status,Warranty (months),Horsepower (ch),Power (kW),Make-Model
0,Renault,ZOE,2014,19146,Grey,Manual,,7500,Used,12 ,58 ,43 ,Renault ZOE
1,smart,forTwo,2018,12000,Grey,,3,15850,Used,12 ,82 ,60 ,smart forTwo
2,Renault,ZOE,2014,19146,Grey,Manual,,7500,Used,12 ,58 ,43 ,Renault ZOE
3,smart,forTwo,2015,22000,White,Automatic,2,11500,"Used, Full Service History",,48 ,35 ,smart forTwo
4,Hyundai,Ioniq,2017,56000,White,Automatic,5,17500,Used,,120 ,88 ,Hyundai Ioniq
5,Renault,ZOE,2014,20120,White,Automatic,5,10690,Used,,88 ,65 ,Renault ZOE
6,Renault,Kangoo,2017,12722,White,Automatic,3,13490,Used,6 ,61 ,45 ,Renault Kangoo
7,smart,forTwo,2018,3000,,Automatic,3,17990,Used,12 ,83 ,61 ,smart forTwo
8,BMW,i3,2020,115,,Automatic,5,29995,Used,,173 ,127 ,BMW i3
9,Renault,ZOE,2016,22109,,,,11490,Used,6 ,- ,- ,Renault ZOE
10,Volkswagen,Golf,2020,10,White,Automatic,5,25428,Used,,136 ,100 ,Volkswagen Golf
11,BMW,i3,2016,42223,,Automatic,5,21500,Used,6 ,- ,- ,BMW i3
12,Nissan,Leaf,2016,45041,White,Automatic,5,10490,Used,6 ,110 ,81 ,Nissan Leaf
13,Renault,ZOE,2019,12584,White,Automatic,5,14890,Used,12 ,90 ,66 ,Renault ZOE
14,Renault,Kangoo,2017,12722,White,Automatic,3,13490,Used,6 ,61 ,45 ,Renault Kangoo
15,Nissan,Leaf,2015,31700,White,Automatic,5,10890,Used,6 ,109 ,80 ,Nissan Leaf
16,Nissan,Leaf,2019,6000,Bronze,Automatic,5,17999,Used,12 ,110 ,81 ,Nissan Leaf
17,BMW,i3,2019,2349,Blue,Automatic,5,29876,Used,24 ,173 ,127 ,BMW i3
18,Renault,ZOE,2015,25605,Grey,Automatic,5,8490,Used,6 ,90 ,66 ,Renault ZOE
19,Nissan,Leaf,2019,30832,Black,Automatic,5,11590,Used,6 ,110 ,81 ,Nissan Leaf
20,Renault,ZOE,2015,78574,Grey,Automatic,5,8490,Used,6 ,90 ,66 ,Renault ZOE
21,Renault,ZOE,2014,65395,Blue,Automatic,5,7499,Used,12 ,90 ,66 ,Renault ZOE
22,Renault,ZOE,2017,36718,Blue,Automatic,5,12390,Used,6 ,94 ,69 ,Renault ZOE
23,Renault,ZOE,2017,23066,White,Automatic,5,11490,Used,12 ,94 ,69 ,Renault ZOE
24,Renault,Kangoo,2014,14235,White,Automatic,4,8490,Used,6 ,60 ,44 ,Renault Kangoo
25,Renault,ZOE,2017,48497,Grey,,,10900,Used,12 ,- ,- ,Renault ZOE
