Make,Model,Price (€),Kilometrage (km),First Registration
Audi,e-tron,69990,3000,2020
Audi,e-tron,81948,12000,2020
Audi,e-tron,94900,5000,2020
BMW,i3,14990,87252,2014
BMW,i3,18999,18261,2015
BMW,i3,19900,30891,2017
BMW,i3,20450,44703,2017
BMW,i3,20490,30500,2018
BMW,i3,20765,22883,2016
BMW,i3,20990,12289,2017
BMW,i3,21500,42223,2016
BMW,i3,21999,16063,2016
BMW,i3,22900,39704,2018
BMW,i3,22990,30107,2017
BMW,i3,24390,8788,2017
BMW,i3,24990,18700,2017
BMW,i3,25790,9838,2016
BMW,i3,29876,2349,2019
BMW,i3,29995,115,2020
BMW,i3,32900,5000,2020
BMW,i3,33900,8000,2019
BMW,i3,35390,4742,2019
BMW,i3,36300,5706,2019
BMW,i3,36500,2500,2020
BMW,i3,37900,6000,2019
BMW,i3,39900,3000,2020
BMW,i3,39900,5000,2020
BMW,i3,39980,6000,2020
Citroen,Berlingo,23890,7502,2018
Citroen,C-Zero,7490,35000,2012
Citroen,C-Zero,9900,16070,2016
Citroen,C-Zero,11990,14821,2018
Hyundai,Ioniq,17500,56000,2017
Hyundai,Ioniq,24999,25290,2019
Hyundai,Ioniq,27990,4000,2019
Hyundai,Kona,35900,2000,2020
MINI,Cooper,35900,2500,2020
MINI,Cooper,36990,6000,2020
MINI,Cooper,40800,250,2020
MINI,Cooper,40800,5000,2020
Nissan,Leaf,9000,34500,2013
Nissan,Leaf,10490,38800,2016
Nissan,Leaf,10490,45041,2016
Nissan,Leaf,10490,45318,2016
Nissan,Leaf,10490,45610,2016
Nissan,Leaf,10499,117151,2016
Nissan,Leaf,10890,31700,2015
Nissan,Leaf,10990,30438,2016
Nissan,Leaf,10990,49600,2016
Nissan,Leaf,10990,66614,2014
Nissan,Leaf,11590,30832,2019
Nissan,Leaf,11990,17529,2016
Nissan,Leaf,17999,6000,2019
Nissan,Leaf,20980,44011,2019
Nissan,Leaf,23690,18854,2019
Nissan,Leaf,24499,20402,2019
Nissan,Leaf,24580,10,2018
Nissan,Leaf,27682,10043,2019
Nissan,NV200,10500,42100,2015
Peugeot,2008,40990,6100,2020
Peugeot,2008,41200,1000,2020
Peugeot,208,25399,6000,2020
Peugeot,208,32390,10,2020
Peugeot,208,34580,2000,2020
Peugeot,208,37300,3500,2020
Peugeot,3008,21000,40356,2013
Peugeot,Partner,15890,12431,2017
Peugeot,iOn,6999,18914,2012
Renault,Kangoo,7788,33544,2015
Renault,Kangoo,8490,14235,2014
Renault,Kangoo,13490,12722,2017
Renault,Kangoo Z.E.,6790,15000,2016
Renault,Twingo,9990,28815,2017
Renault,ZOE,7490,26338,2015
Renault,ZOE,7490,77000,2014
Renault,ZOE,7499,65395,2014
Renault,ZOE,7500,19146,2014
Renault,ZOE,7900,80189,2016
Renault,ZOE,7980,49987,2014
