Make,Model,Price (€),Body Color,First Registration
Audi,e-tron,69990,Black,2020
Audi,e-tron,81948,Blue,2020
BMW,i3,20765,White,2016
BMW,i3,22900,Grey,2018
BMW,i3,24390,Grey,2017
BMW,i3,24990,Grey,2017
BMW,i3,29876,Blue,2019
BMW,i3,35390,Blue,2019
BMW,i3,37900,Black,2019
Citroen,Berlingo,23890,White,2018
Citroen,C-Zero,9900,White,2016
Citroen,C-Zero,11990,White,2018
Hyundai,Ioniq,17500,White,2017
Hyundai,Ioniq,24999,White,2019
Hyundai,Kona,35900,Grey,2020
MINI,Cooper,40800,Blue,2020
Nissan,Leaf,9000,White,2013
Nissan,Leaf,10490,White,2016
Nissan,Leaf,10499,Grey,2016
Nissan,Leaf,10890,White,2015
Nissan,Leaf,10990,White,2014
Nissan,Leaf,10990,White,2016
Nissan,Leaf,11590,Black,2019
Nissan,Leaf,11990,White,2016
Nissan,Leaf,17999,Bronze,2019
Nissan,Leaf,20980,Black,2019
Nissan,Leaf,23690,White,2019
Nissan,Leaf,24499,White,2019
Nissan,Leaf,24580,Grey,2018
Nissan,Leaf,27682,White,2019
Nissan,NV200,10500,White,2015
Peugeot,208,25399,Grey,2020
Peugeot,208,34580,Grey,2020
Peugeot,208,37300,Grey,2020
Peugeot,3008,21000,Brown,2013
Peugeot,iOn,6999,White,2012
Renault,Kangoo,7788,White,2015
Renault,Kangoo,8490,White,2014
Renault,Kangoo,13490,White,2017
Renault,Kangoo Z.E.,6790,White,2016
Renault,Twingo,9990,Grey,2017
Renault,ZOE,7490,White,2014
Renault,ZOE,7490,White,2015
Renault,ZOE,7499,Blue,2014
Renault,ZOE,7500,Grey,2014
Renault,ZOE,7900,Grey,2016
Renault,ZOE,7980,White,2014
Renault,ZOE,7990,Grey,2015
Renault,ZOE,8290,White,2017
Renault,ZOE,8299,White,2016
Renault,ZOE,8390,Black,2014
Renault,ZOE,8390,White,2016
Renault,ZOE,8490,Grey,2015
Renault,ZOE,8690,White,2016
Renault,ZOE,8990,Blue,2016
Renault,ZOE,9200,Blue,2015
Renault,ZOE,9290,White,2016
Renault,ZOE,9390,Red,2017
Renault,ZOE,9480,Blue,2016
Renault,ZOE,9490,Grey,2016
Renault,ZOE,9490,White,2017
Renault,ZOE,9990,Grey,2017
Renault,ZOE,9990,White,2017
Renault,ZOE,10299,White,2017
Renault,ZOE,10390,White,2015
Renault,ZOE,10490,White,2017
Renault,ZOE,10600,White,2017
Renault,ZOE,10690,White,2014
Renault,ZOE,10690,White,2016
Renault,ZOE,10900,Grey,2017
Renault,ZOE,11390,White,2018
Renault,ZOE,11490,White,2017
Renault,ZOE,11490,White,2018
Renault,ZOE,11500,Black,2013
Renault,ZOE,11500,White,2013
Renault,ZOE,11790,White,2018
Renault,ZOE,11990,Black,2017
Renault,ZOE,11990,Grey,2018
Renault,ZOE,12390,Blue,2017
Renault,ZOE,12490,Grey,2019
Renault,ZOE,12490,White,2017
Renault,ZOE,12490,White,2018
Renault,ZOE,12499,White,2017
Renault,ZOE,12990,Grey,2018
Renault,ZOE,13230,White,2017
Renault,ZOE,13290,White,2019
Renault,ZOE,13490,White,2019
Renault,ZOE,13499,Black,2018
Renault,ZOE,13790,White,2018
Renault,ZOE,13990,Grey,2018
Renault,ZOE,13991,Grey,2018
Renault,ZOE,14280,Black,2018
Renault,ZOE,14288,White,2019
Renault,ZOE,14299,Beige,2019
Renault,ZOE,14490,Grey,2018
Renault,ZOE,14490,White,2018
Renault,ZOE,14500,Grey,2018
Renault,ZOE,14688,White,2016
Renault,ZOE,14800,Grey,2018
Renault,ZOE,14890,White,2019
Renault,ZOE,14900,Grey,2018
Renault,ZOE,20990,Blue,2019
Renault,ZOE,25590,Blue,2020
Toyota,C-HR,31058,Blue,2020
Volkswagen,Golf,25428,White,2020
smart,forFour,19900,Silver,2019
smart,forFour,21620,Black,2020
smart,forTwo,11500,White,2015
smart,forTwo,15850,Grey,2018
smart,forTwo,23490,Red,2020
