Make,Model,Price (€),Horsepower (ch),Power (kW),First Registration
Audi,e-tron,69990,234 ,172 ,2020
Audi,e-tron,81948,- ,- ,2020
Audi,e-tron,94900,234 ,172 ,2020
BMW,i3,14990,173 ,127 ,2014
BMW,i3,18999,173 ,127 ,2015
BMW,i3,19900,173 ,127 ,2017
BMW,i3,20450,173 ,127 ,2017
BMW,i3,20490,173 ,127 ,2018
BMW,i3,20765,- ,- ,2016
BMW,i3,20990,173 ,127 ,2017
BMW,i3,21500,- ,- ,2016
BMW,i3,21999,- ,- ,2016
BMW,i3,22900,173 ,127 ,2018
BMW,i3,22990,173 ,127 ,2017
BMW,i3,24390,- ,- ,2017
BMW,i3,24990,173 ,127 ,2017
BMW,i3,25790,- ,- ,2016
BMW,i3,29876,173 ,127 ,2019
BMW,i3,29995,173 ,127 ,2020
BMW,i3,32900,173 ,127 ,2020
BMW,i3,33900,173 ,127 ,2019
BMW,i3,35390,173 ,127 ,2019
BMW,i3,36300,186 ,137 ,2019
BMW,i3,36500,173 ,127 ,2020
BMW,i3,37900,186 ,137 ,2019
BMW,i3,39900,173 ,127 ,2020
BMW,i3,39900,186 ,137 ,2020
BMW,i3,39980,173 ,127 ,2020
Citroen,Berlingo,23890,48 ,35 ,2018
Citroen,C-Zero,7490,- ,- ,2012
Citroen,C-Zero,9900,68 ,50 ,2016
Citroen,C-Zero,11990,- ,- ,2018
Hyundai,Ioniq,17500,120 ,88 ,2017
Hyundai,Ioniq,24999,122 ,90 ,2019
Hyundai,Ioniq,27990,137 ,101 ,2019
Hyundai,Kona,35900,207 ,152 ,2020
MINI,Cooper,35900,186 ,137 ,2020
MINI,Cooper,36990,186 ,137 ,2020
MINI,Cooper,40800,186 ,137 ,2020
Nissan,Leaf,9000,109 ,80 ,2013
Nissan,Leaf,10490,110 ,81 ,2016
Nissan,Leaf,10499,110 ,81 ,2016
Nissan,Leaf,10890,109 ,80 ,2015
Nissan,Leaf,10990,109 ,80 ,2016
Nissan,Leaf,10990,110 ,81 ,2014
Nissan,Leaf,10990,110 ,81 ,2016
