Make,Model,Price (€),Warranty (months),First Registration
BMW,i3,14990,24 ,2014
BMW,i3,18999,24 ,2015
BMW,i3,19900,24 ,2017
BMW,i3,20490,24 ,2018
BMW,i3,20765,24 ,2016
BMW,i3,20990,24 ,2017
BMW,i3,21500,6 ,2016
BMW,i3,21999,24 ,2016
BMW,i3,22900,24 ,2018
BMW,i3,22990,24 ,2017
BMW,i3,24390,24 ,2017
BMW,i3,24990,24 ,2017
BMW,i3,25790,24 ,2016
BMW,i3,29876,24 ,2019
BMW,i3,35390,24 ,2019
BMW,i3,36300,24 ,2019
BMW,i3,39900,24 ,2020
Citroen,Berlingo,23890,12 ,2018
Nissan,Leaf,10490,12 ,2016
Nissan,Leaf,10490,6 ,2016
Nissan,Leaf,10499,12 ,2016
Nissan,Leaf,10890,6 ,2015
Nissan,Leaf,10990,12 ,2016
Nissan,Leaf,10990,6 ,2016
Nissan,Leaf,11590,6 ,2019
Nissan,Leaf,11990,12 ,2016
Nissan,Leaf,17999,12 ,2019
Nissan,Leaf,23690,12 ,2019
Nissan,Leaf,24499,12 ,2019
Nissan,Leaf,24580,36 ,2018
Nissan,NV200,10500,12 ,2015
Peugeot,208,25399,12 ,2020
Peugeot,208,32390,12 ,2020
Peugeot,208,34580,12 ,2020
Peugeot,3008,21000,3 ,2013
Peugeot,Partner,15890,12 ,2017
Peugeot,iOn,6999,3 ,2012
Renault,Kangoo,8490,6 ,2014
Renault,Kangoo,13490,6 ,2017
Renault,Kangoo Z.E.,6790,3 ,2016
Renault,Twingo,9990,12 ,2017
Renault,ZOE,7499,12 ,2014
Renault,ZOE,7500,12 ,2014
Renault,ZOE,7900,6 ,2016
Renault,ZOE,7990,6 ,2015
Renault,ZOE,8290,12 ,2017
Renault,ZOE,8299,12 ,2016
Renault,ZOE,8390,6 ,2014
Renault,ZOE,8390,6 ,2016
Renault,ZOE,8490,6 ,2015
Renault,ZOE,8690,6 ,2016
Renault,ZOE,8990,6 ,2016
Renault,ZOE,9200,6 ,2015
Renault,ZOE,9290,12 ,2017
Renault,ZOE,9290,6 ,2016
Renault,ZOE,9390,6 ,2017
Renault,ZOE,9400,12 ,2016
Renault,ZOE,9490,6 ,2016
Renault,ZOE,9490,6 ,2017
Renault,ZOE,9990,12 ,2017
Renault,ZOE,9990,6 ,2017
Renault,ZOE,10290,6 ,2016
Renault,ZOE,10299,12 ,2017
Renault,ZOE,10490,12 ,2017
Renault,ZOE,10600,6 ,2017
Renault,ZOE,10690,12 ,2016
Renault,ZOE,10900,12 ,2017
Renault,ZOE,11390,12 ,2018
Renault,ZOE,11490,12 ,2015
Renault,ZOE,11490,12 ,2017
Renault,ZOE,11490,12 ,2018
Renault,ZOE,11490,6 ,2016
Renault,ZOE,11500,12 ,2013
Renault,ZOE,11790,6 ,2018
Renault,ZOE,11990,12 ,2018
Renault,ZOE,11990,6 ,2017
Renault,ZOE,12390,6 ,2017
Renault,ZOE,12490,12 ,2017
Renault,ZOE,12490,12 ,2018
Renault,ZOE,12490,6 ,2017
Renault,ZOE,12499,12 ,2017
Renault,ZOE,12990,12 ,2018
Renault,ZOE,13230,12 ,2017
Renault,ZOE,13290,12 ,2019
Renault,ZOE,13490,12 ,2019
Renault,ZOE,13790,12 ,2018
Renault,ZOE,13990,12 ,2018
Renault,ZOE,13991,6 ,2018
Renault,ZOE,14280,12 ,2018
Renault,ZOE,14299,12 ,2019
Renault,ZOE,14490,12 ,2018
Renault,ZOE,14800,12 ,2018
Renault,ZOE,14890,12 ,2019
Renault,ZOE,14900,12 ,2018
Toyota,C-HR,31058,28 ,2020
smart,forFour,19900,24 ,2019
smart,forFour,21620,24 ,2020
smart,forTwo,15850,12 ,2018
smart,forTwo,17990,12 ,2018
smart,forTwo,23490,24 ,2020
