Gearing Type,Make,Model,Price (€),First Registration
Automatic,Audi,e-tron,69990,2020
Automatic,Audi,e-tron,81948,2020
Automatic,Audi,e-tron,94900,2020
Automatic,BMW,i3,14990,2014
Automatic,BMW,i3,18999,2015
Automatic,BMW,i3,19900,2017
Automatic,BMW,i3,20450,2017
Automatic,BMW,i3,20490,2018
Automatic,BMW,i3,20765,2016
Automatic,BMW,i3,20990,2017
Automatic,BMW,i3,21500,2016
Automatic,BMW,i3,21999,2016
Automatic,BMW,i3,22900,2018
Automatic,BMW,i3,22990,2017
Automatic,BMW,i3,24390,2017
Automatic,BMW,i3,24990,2017
Automatic,BMW,i3,25790,2016
Automatic,BMW,i3,29876,2019
Automatic,BMW,i3,29995,2020
Automatic,BMW,i3,32900,2020
Automatic,BMW,i3,33900,2019
Automatic,BMW,i3,35390,2019
Automatic,BMW,i3,36300,2019
Automatic,BMW,i3,36500,2020
Automatic,BMW,i3,37900,2019
Automatic,BMW,i3,39900,2020
Automatic,BMW,i3,39980,2020
Automatic,Citroen,Berlingo,23890,2018
Automatic,Citroen,C-Zero,7490,2012
Automatic,Citroen,C-Zero,9900,2016
Automatic,Citroen,C-Zero,11990,2018
Automatic,Hyundai,Ioniq,17500,2017
Automatic,Hyundai,Ioniq,24999,2019
Automatic,Hyundai,Ioniq,27990,2019
Automatic,Hyundai,Kona,35900,2020
Automatic,MINI,Cooper,35900,2020
Automatic,MINI,Cooper,36990,2020
Automatic,MINI,Cooper,40800,2020
Automatic,Nissan,Leaf,9000,2013
Automatic,Nissan,Leaf,10490,2016
Automatic,Nissan,Leaf,10499,2016
Automatic,Nissan,Leaf,10890,2015
Automatic,Nissan,Leaf,10990,2014
Automatic,Nissan,Leaf,10990,2016
Automatic,Nissan,Leaf,11590,2019
Automatic,Nissan,Leaf,11990,2016
Automatic,Nissan,Leaf,17999,2019
Automatic,Nissan,Leaf,20980,2019
Automatic,Nissan,Leaf,23690,2019
Automatic,Nissan,Leaf,24499,2019
Automatic,Nissan,Leaf,24580,2018
Automatic,Nissan,Leaf,27682,2019
Automatic,Nissan,NV200,10500,2015
Automatic,Peugeot,2008,40990,2020
Automatic,Peugeot,2008,41200,2020
Automatic,Peugeot,208,25399,2020
Automatic,Peugeot,208,32390,2020
Automatic,Peugeot,208,34580,2020
Automatic,Peugeot,3008,21000,2013
Automatic,Peugeot,Partner,15890,2017
Automatic,Peugeot,iOn,6999,2012
Automatic,Renault,Kangoo,7788,2015
Automatic,Renault,Kangoo,8490,2014
Automatic,Renault,Kangoo,13490,2017
Automatic,Renault,Kangoo Z.E.,6790,2016
Automatic,Renault,ZOE,7490,2014
Automatic,Renault,ZOE,7490,2015
Automatic,Renault,ZOE,7499,2014
Automatic,Renault,ZOE,7900,2016
Automatic,Renault,ZOE,7980,2014
Automatic,Renault,ZOE,7990,2015
Automatic,Renault,ZOE,8290,2017
Automatic,Renault,ZOE,8299,2016
Automatic,Renault,ZOE,8390,2014
Automatic,Renault,ZOE,8390,2016
Automatic,Renault,ZOE,8490,2015
Automatic,Renault,ZOE,8690,2016
Automatic,Renault,ZOE,8990,2016
Automatic,Renault,ZOE,9200,2015
Automatic,Renault,ZOE,9290,2016
Automatic,Renault,ZOE,9290,2017
Automatic,Renault,ZOE,9390,2017
Automatic,Renault,ZOE,9480,2016
Automatic,Renault,ZOE,9490,2016
Automatic,Renault,ZOE,9490,2017
Automatic,Renault,ZOE,9990,2017
Automatic,Renault,ZOE,10299,2017
Automatic,Renault,ZOE,10390,2015
Automatic,Renault,ZOE,10490,2017
Automatic,Renault,ZOE,10600,2017
Automatic,Renault,ZOE,10690,2014
Automatic,Renault,ZOE,10690,2016
Automatic,Renault,ZOE,11390,2018
Automatic,Renault,ZOE,11490,2017
Automatic,Renault,ZOE,11490,2018
Automatic,Renault,ZOE,11500,2013
Automatic,Renault,ZOE,11790,2018
Automatic,Renault,ZOE,11990,2017
Automatic,Renault,ZOE,11990,2018
Automatic,Renault,ZOE,12390,2017
Automatic,Renault,ZOE,12490,2017
Automatic,Renault,ZOE,12490,2018
Automatic,Renault,ZOE,12490,2019
Automatic,Renault,ZOE,12499,2017
Automatic,Renault,ZOE,12990,2018
Automatic,Renault,ZOE,13230,2017
Automatic,Renault,ZOE,13290,2019
Automatic,Renault,ZOE,13490,2019
Automatic,Renault,ZOE,13499,2018
Automatic,Renault,ZOE,13790,2018
Automatic,Renault,ZOE,13990,2018
Automatic,Renault,ZOE,13991,2018
Automatic,Renault,ZOE,14280,2018
Automatic,Renault,ZOE,14288,2019
Automatic,Renault,ZOE,14299,2019
Automatic,Renault,ZOE,14490,2018
Automatic,Renault,ZOE,14500,2018
Automatic,Renault,ZOE,14688,2016
Automatic,Renault,ZOE,14800,2018
Automatic,Renault,ZOE,14890,2019
Automatic,Renault,ZOE,14900,2018
Automatic,Renault,ZOE,20990,2019
Automatic,Renault,ZOE,25590,2020
Automatic,Renault,ZOE,26590,2020
Automatic,Toyota,C-HR,31058,2020
Automatic,Volkswagen,Golf,25428,2020
Automatic,smart,forFour,19900,2019
Automatic,smart,forFour,21620,2020
Automatic,smart,forTwo,11500,2015
Automatic,smart,forTwo,17990,2018
Automatic,smart,forTwo,23490,2020
Manual,Renault,Twingo,9990,2017
Manual,Renault,ZOE,7500,2014
Manual,Renault,ZOE,11500,2013
