Make,Model,First Registration,Kilometrage,Body,Body Color,Body Color Original,Country version,Emission Class,Ffuel,Fuel,Gearing Type,Gears,Last Service Date,Nr. of Doors,Nr. of Seats,Offer Number,Paint Type,Previous Owners,Price,Status,Title,Type,Upholstery,Warranty,Weight,Ch,index,kW,km,link,transmission
Renault,ZOE,2014,"19,146 km",Sedans,Grey,,,Euro 6,"Manual, Electric",Electric,Manual,6,,,4,cpy_5fd69c0c-0543-4dee-928c-9b8b78cc1cdc,Uni/basic,,"€ 7,500.-",Used,We have developed a new application design for you:,Used,"Velour, Grey",12 months,"1,403 kg",58 hp,66,43 kW,"19,146 km",https://www.autoscout24.com//offers/renault-zoe-zen-b-rent-electric-grey-2cbb1a91-2a37-4262-b42a-4ae8ff88005c,"Manual, Electric"
smart,forTwo,2018,"12,000 km",Convertible,Grey,,,Euro 6,Electric,Electric,,1,,3,2,cpy_b4eb4264-9833-4ae8-9922-9e847280ec09,Metallic,1,"€ 15,850.-",Used,We have developed a new application design for you:,Used,"Full leather, Black",12 months,"1,115 kg",82 hp,134,60 kW,"12,000 km",https://www.autoscout24.com//offers/smart-fortwo-electric-drive-pure-electric-grey-1f7fb6a1-456d-408c-9bd1-a561cda359a0,Electric
Renault,ZOE,2014,"19,146 km",Sedans,Grey,,,Euro 6,"Manual, Electric",Electric,Manual,6,,,4,cpy_5fd69c0c-0543-4dee-928c-9b8b78cc1cdc,Uni/basic,,"€ 7,500.-",Used,We have developed a new application design for you:,Used,"Velour, Grey",12 months,"1,403 kg",58 hp,197,43 kW,"19,146 km",https://www.autoscout24.com//offers/renault-zoe-zen-b-rent-electric-grey-2cbb1a91-2a37-4262-b42a-4ae8ff88005c,"Manual, Electric"
smart,forTwo,2015,"22,000 km",Convertible,White,,Monaco,Euro 5,"Automatic, Electric",Electric,Automatic,5,05/2020,2,2,,,2,"€ 11,500.-","Used, Full Service History",We have developed a new application design for you:,Used,"Cloth, Black",,995 kg,48 hp,103,35 kW,"22,000 km",https://www.autoscout24.com//offers/smart-fortwo-smart-cabrio-electric-drive-avec-batterie-electric-white-54093c16-6d1f-4a99-8b54-b4676e337cde,"Automatic, Electric"
Hyundai,Ioniq,2017,"56,000 km",Sedans,White,,,,"Automatic, Electric",Electric,Automatic,1,,5,5,,,,"€ 17,500.-",Used,We have developed a new application design for you:,Used,,,"1,495 kg",120 hp,0,88 kW,"56,000 km",https://www.autoscout24.com//offers/hyundai-ioniq-electric-120-ch-creative-electric-white-424720af-61df-273c-e053-0100007f3e9d,"Automatic, Electric"
Renault,ZOE,2014,"20,120 km",Sedans,White,blanc,,,"Automatic, Electric",Electric,Automatic,,,5,5,51138MCA,,,"€ 10,690.-",Used,We have developed a new application design for you:,Used,,,,88 hp,1,65 kW,"20,120 km",https://www.autoscout24.com//offers/renault-zoe-zen-charge-rapide-electric-white-b3b7b5fe-ecb8-4dd3-82bc-003b7043c3e8,"Automatic, Electric"
Renault,Kangoo,2017,"12,722 km",Transporter,White,BLANC,,,"Automatic, Electric",Electric,Automatic,,,3,,11179,,,"€ 13,490.-",Used,We have developed a new application design for you:,Used,,6 months,,61 hp,2,45 kW,"12,722 km",https://www.autoscout24.com//offers/renault-kangoo-ii-express-ze-maxi-grand-volume-grand-confort-electric-white-464ca1ee-c4cc-4ea6-a8bb-4456744af48a,"Automatic, Electric"
smart,forTwo,2018,"3,000 km",Compact,,Peinture noir non métallisé,,,"Automatic, Electric",Electric,Automatic,,,3,2,th86-FB-840-ZL,,,"€ 17,990.-",Used,We have developed a new application design for you:,Used,,12 months,,83 hp,3,61 kW,"3,000 km",https://www.autoscout24.com//offers/smart-fortwo-electrique-82ch-prime-electric-e9115a8a-9af5-48eb-ada5-286716c0e525,"Automatic, Electric"
BMW,i3,2020,115 km,Sedans,,Imperialblau avec accent Froze,,,"Automatic, Electric",Electric,Automatic,,,5,,6467,Metallic,1,"€ 29,995.-",Used,We have developed a new application design for you:,Used,,,,173 hp,4,127 kW,115 km,https://www.autoscout24.com//offers/bmw-i3-170-ch-120-ah-ilife-electric-c5c5e336-ca59-457b-a5c8-59e7ec71d9db,"Automatic, Electric"
Renault,ZOE,2016,"22,109 km",Sedans,,TEINTE CAISSE BLANC GLACIER,,,Electric,Electric,,,,,,VO019161,,,"€ 11,490.-",Used,We have developed a new application design for you:,Used,,6 months,,- hp,5,- kW,"22,109 km",https://www.autoscout24.com//offers/renault-zoe-intens-gamme-2017-electric-c13c883d-f01f-41f6-9820-31f93b707537,Electric
Volkswagen,Golf,2020,10 km,Sedans,White,blanc,,,"Automatic, Electric",Electric,Automatic,,,5,5,GW_V1798,,,"€ 25,428.-",Used,We have developed a new application design for you:,Used,,,,136 hp,6,100 kW,10 km,https://www.autoscout24.com//offers/volkswagen-golf-vii-e-136-led-gps-parkassi-electric-white-b550e592-9279-4478-a971-639517e30b42,"Automatic, Electric"
BMW,i3,2016,"42,223 km",Sedans,,Iconic silver,,,"Automatic, Electric",Electric,Automatic,,,5,,11484,,1,"€ 21,500.-",Used,We have developed a new application design for you:,Used,,6 months,,- hp,7,- kW,"42,223 km",https://www.autoscout24.com//offers/bmw-i3-170ch-94ah-ilife-loft-electric-330d67d5-6999-4f27-810d-589a8ff043c1,"Automatic, Electric"
Nissan,Leaf,2016,"45,041 km",Compact,White,BLANC ARCTIQUE,,,"Automatic, Electric",Electric,Automatic,,,5,,32763,,,"€ 10,490.-",Used,We have developed a new application design for you:,Used,,6 months,,110 hp,8,81 kW,"45,041 km",https://www.autoscout24.com//offers/nissan-leaf-109ch-24kwh-visia-electric-white-98279582-0de0-4dd2-97f0-a08bdb458bb9,"Automatic, Electric"
Renault,ZOE,2019,"12,584 km",Sedans,White,blanc,,,"Automatic, Electric",Electric,Automatic,,,5,,VO192792,,,"€ 14,890.-",Used,We have developed a new application design for you:,Used,,12 months,,90 hp,9,66 kW,"12,584 km",https://www.autoscout24.com//offers/renault-zoe-r90-life-electric-white-9114d7f9-bde5-44c7-988e-76e000ea017f,"Automatic, Electric"
Renault,Kangoo,2017,"12,722 km",Transporter,White,BLANC,,,"Automatic, Electric",Electric,Automatic,,,3,,11179,,,"€ 13,490.-",Used,We have developed a new application design for you:,Used,,6 months,,61 hp,10,45 kW,"12,722 km",https://www.autoscout24.com//offers/renault-kangoo-ii-express-ze-maxi-grand-volume-grand-confort-electric-white-464ca1ee-c4cc-4ea6-a8bb-4456744af48a,"Automatic, Electric"
Nissan,Leaf,2015,"31,700 km",Sedans,White,blanc,,,"Automatic, Electric",Electric,Automatic,,,5,5,29majuz,,,"€ 10,890.-",Used,We have developed a new application design for you:,Used,,6 months,,109 hp,11,80 kW,"31,700 km",https://www.autoscout24.com//offers/nissan-leaf-2-109hp-visia-auto-electric-white-608aabc6-7c8b-4408-8b27-f49c8805ad03,"Automatic, Electric"
Nissan,Leaf,2019,"6,000 km",Sedans,Bronze,BRONZE ULTIME,,,"Automatic, Electric",Electric,Automatic,,,5,,96192,,,"€ 17,999.-",Used,We have developed a new application design for you:,Used,,12 months,,110 hp,12,81 kW,"6,000 km",https://www.autoscout24.com//offers/nissan-leaf-109ch-30kwh-tekna-electric-bronze-dd9602fb-a114-4fd1-8636-c62b790a4fbb,"Automatic, Electric"
BMW,i3,2019,"2,349 km",Sedans,Blue,IMPERIAL BLAU,,,"Automatic, Electric",Electric,Automatic,,,5,,RAB2020427,,,"€ 29,876.-",Used,We have developed a new application design for you:,Used,,24 months,,173 hp,13,127 kW,"2,349 km",https://www.autoscout24.com//offers/bmw-i3-170ch-120ah-edition-360-loft-electric-blue-c601eeb0-b002-407a-81aa-a27ca6a55281,"Automatic, Electric"
Renault,ZOE,2015,"25,605 km",Sedans,Grey,GRIS,,,"Automatic, Electric",Electric,Automatic,,,5,,losa-DY-442-HA,,,"€ 8,490.-",Used,We have developed a new application design for you:,Used,,6 months,,90 hp,14,66 kW,"25,605 km",https://www.autoscout24.com//offers/renault-zoe-zen-charge-normale-electric-grey-3836f5d1-320f-4432-bb23-b7d68422532f,"Automatic, Electric"
